Mach,A,Cl,Cd,Cm
2.16,4.9001035603838,0.000550213697725766,0.955940521957294,0.00129045229777836
2.19,4.9001035603838,0.000549634440592003,0.957640028997211,0.0012891329091923
2.22,4.9001035603838,0.000549127151125198,0.959172323036459,0.00128793231687403
2.25,4.9001035603838,0.000548690425398708,0.960540799127285,0.00128684819701664
2.28,4.9001035603838,0.000548322734033336,0.961748651390496,0.00128587800286792
2.31,4.9001035603838,0.000548022438374532,0.962799191795899,0.00128501890303155
2.34,4.9001035603838,0.000547788152049264,0.963695719697808,0.00128426859277642
2.37,4.9001035603838,0.000547618285506656,0.964441591907576,0.00128362438193191
2.4,4.9001035603838,0.000547511356794556,0.96504000812003,0.00128308382092879
2.43,4.9001035603838,0.000547465850173365,0.965494312838445,0.00128264430864149
2.46,4.9001035603838,0.00054748024652757,0.965807746475235,0.00128230327720293
